详细燃油量分析报告
==================================================

所有机场燃油量数据：
--------------------------------------------------------------------------------
  排名 机场名称               总燃油量(千kg)     航班数量       平均燃油量(kg)
--------------------------------------------------------------------------------
   1 首都机场              112384.0    21032       5343.48
   2 长水机场               83716.9    16261       5148.33
   3 白云机场               83272.3    15594       5340.02
   4 宝安机场               81566.7    13892       5871.49
   5 江北机场               77331.0    15732       4915.52
   6 双流机场               75515.5    14347       5263.50
   7 地窝堡机场              64223.1     7613       8435.98
   8 咸阳机场               61841.5    13156       4700.63
   9 浦东机场               59173.1    11132       5315.59
  10 美兰机场               52852.7     8579       6160.71
  11 太平机场               52178.9     7199       7248.08
  12 萧山机场               49777.7     9131       5451.50
  13 凤凰机场               48657.7     6003       8105.57
  14 桃仙机场               44648.7     6210       7189.80
  15 虹桥机场               43492.2     8694       5002.55
  16 滨海机场               42351.6     7935       5337.32
  17 高崎机场               41596.9     8050       5167.31
  18 新郑机场               40399.2     8073       5004.24
  19 流亭机场               37780.3     7544       5007.99
  20 禄口机场               34914.7     6279       5560.54
  21 龙嘉机场               33900.5     4488       7553.58
  22 周水子机场              31812.4     6624       4802.59
  23 龙洞堡机场              30924.6     6900       4481.82
  24 中川机场               29267.4     5382       5438.01
  25 天河机场               28933.7     7222       4006.33
  26 遥墙机场               28668.0     5290       5419.28
  27 黄花机场               27250.7     6160       4423.82
  28 长乐机场               23627.0     4623       5110.76
  29 吴圩机场               23533.1     4623       5090.44
  30 武宿机场               19981.5     4094       4880.68
  31 河东机场               18413.1     3565       5164.97
  32 白塔机场               17884.9     3956       4520.95
  33 正定机场               16169.5     3151       5131.54
  34 金湾机场               15611.0     3058       5104.96
  35 龙湾国际机场             15243.4     2944       5177.78
  36 栎社机场               13577.9     2622       5178.45
  37 贡嘎机场               13107.6     1909       6866.22
  38 两江机场               12870.0     2645       4865.78
  39 三义机场               12787.0     2760       4632.98
  40 嘎洒机场               10995.8     2852       3855.46
  41 昌北机场               10982.1     2553       4301.65
  42 曹家堡机场              10970.7     2024       5420.31
  43 新桥机场               10636.8     2530       4204.28
  44 苏南硕放机场              9997.1     1817       5501.98
  45 蓬莱国际机场              9261.0     2277       4067.19
  46 南郊机场                6852.4     1196       5729.39
  47 福成机场                5998.7     1100       5453.34
  48 二里半机场               5466.4     1320       4141.20
  49 兴东机场                4727.4      943       5013.15
  50 喀什机场                4594.6      621       7398.65
  51 鄂尔多斯机场              4410.2     1081       4079.77
  52 乌兰浩特机场              4053.0     1058       3830.79
  53 关公机场                3955.6      805       4913.74
  54 库尔勒机场               3927.9      713       5509.02
  55 嘉峪关机场               3623.7      667       5432.86
  56 临沂机场                3620.8      805       4497.93
  57 义乌机场                3563.3      736       4841.46
  58 东山机场                3201.3      598       5353.35
  59 观音机场                3105.4      598       5193.03
  60 朝阳川机场               3015.4      575       5244.16
  61 奔牛机场                2872.6      572       5022.10
  62 三峡机场                2770.7      690       4015.51
  63 威海机场                2682.6      713       3762.47
  64 路桥机场                2572.5      506       5083.91
  65 大庆机场                2548.4      483       5276.14
  66 铜仁凤凰机场              2511.5      897       2799.93
  67 榆阳机场                2495.2      805       3099.57
  68 湛江机场                2491.3      644       3868.45
  69 阿克苏机场               2462.4      528       4663.70
  70 通辽机场                2450.8      644       3805.60
  71 青山机场                2428.6      506       4799.63
  72 海浪机场                2382.1      391       6092.22
  73 蓝田机场                2342.5      483       4849.85
  74 荷花机场                2311.0      667       3464.69
  75 和田机场                2281.8      529       4313.39
  76 白塔埠机场               2261.9      483       4683.04
  77 白莲机场                2184.3      621       3517.39
  78 兴义机场                2145.0      667       3215.95
  79 盐城机场                2049.2      575       3563.83
  80 大理机场                2022.4      529       3823.02
  81 南充机场                1997.2      460       4341.67
  82 伊宁机场                1989.4      437       4552.35
  83 芒市机场                1923.7      713       2698.00
  84 三家子机场               1825.4      299       6104.93
  85 王村机场                1817.8      572       3177.92
  86 北郊机场                1807.4      414       4365.70
  87 东郊机场                1678.3      276       6080.90
  88 屯溪机场                1654.4      552       2997.08
  89 赤峰机场                1609.3      575       2798.81
  90 五桥机场                1603.8      345       4648.66
  91 景德镇机场               1537.9      414       3714.68
  92 达州机场                1487.5      322       4619.52
  93 潍坊机场                1475.3      345       4276.26
  94 敦煌机场                1427.7      368       3879.62
  95 黄金机场                1419.6      368       3857.50
  96 哈密机场                1380.7      184       7503.92
  97 满洲里机场               1275.4      253       5041.18
  98 桃花源机场               1272.5      286       4449.19
  99 菜坝机场                1244.9      207       6013.84
 100 许家坪机场               1216.1      345       3524.79
 101 乌海机场                1146.5      276       4153.96
 102 保山机场                1122.2      242       4637.16
 103 东营机场                1109.8      322       3446.57
 104 大同机场                1102.2      207       5324.57
 105 济宁机场                1062.7      230       4620.57
 106 梅县机场                1055.5      299       3530.15
 107 普陀山机场               1036.6      299       3466.89
 108 邦达机场                1032.2      184       5609.60
 109 姜营机场                1027.8      276       3723.99
 110 右江机场                 997.6      330       3022.98
 111 邯郸机场                 994.7      207       4805.30
 112 锦州湾机场                951.8      161       5911.65
 113 井冈山机场                927.4      276       3360.29
 114 兴凯湖机场                927.0      138       6717.08
 115 武夷山机场                871.1      276       3156.24
 116 浪头机场                 862.2      207       4165.00
 117 天柱山机场                745.4      176       4234.97
 118 格尔木机场                738.1      184       4011.15
 119 阜阳机场                 660.2      161       4100.33
 120 二十里铺机场               634.9      138       4600.41
 121 保安营机场                623.5      161       3872.64
 122 锡林浩特机场               613.2      276       2221.63
 123 黑河机场                 510.4      138       3698.37
 124 克拉玛依机场               492.4      115       4281.88
 125 南苑机场                 476.7      110       4333.32
 126 香格里拉机场               467.5      138       3387.42
 127 伊春机场                 456.6       92       4962.57
 128 城固机场                 354.9       69       5143.67
 129 昭通机场                 353.3      115       3071.82
 130 朝阳机场                 321.4      138       2328.99
 131 芷江机场                 272.9       92       2965.83
 132 漠河机场                 242.4       92       2634.78
 133 玉树巴塘机场               235.0       69       3406.13
 134 永州机场                 234.8       69       3402.56
 135 衢州机场                 190.0       69       2753.86
 136 梧州机场                 141.7       46       3081.12
 137 阿勒泰机场                123.6       66       1872.24
 138 天水机场                  87.2       46       1896.70
 139 临沧机场                  77.0       69       1115.23
 140 塔城机场                  43.2       23       1879.23
